Management Region,ReefName,ReefID,Area (ha),Longitude,Latitude,TUMRA
Northern,U/N Reef (15-072),15-072,43.876,145.779,-15.515,Yuku Baja Muliku
Northern,U/N Reef (15-077),15-077,625.487,145.65,-15.558,Yuku Baja Muliku
Northern,Osterlund Reef (15-078),15-078,5714.283,145.532,-15.556,Yuku Baja Muliku
Northern,Rosser Reef (15-081),15-081,959.924,145.515,-15.607,Yuku Baja Muliku
Northern,Emily Reef (15-082),15-082,3530.024,145.626,-15.606,Yuku Baja Muliku
Northern,Irene Reef (15-084),15-084,1201.325,145.715,-15.648,Yuku Baja Muliku
Northern,Cairns Reef (15-086),15-086,9000.261,145.509,-15.672,Yuku Baja Muliku
Northern,Endeavour Reef (15-089),15-089,2042.128,145.582,-15.777,
Northern,Pickersgill Reef (15-093),15-093,1882.05,145.574,-15.873,
Northern,Evening Reef (15-095),15-095,910.35,145.657,-15.905,
Northern,Morning Reef (15-098),15-098,1400.088,145.665,-15.976,
Northern,Agincourt Reefs (No 3) (15-099a),15-099a,778.043,145.832,-15.99,
Northern,Agincourt Reefs (No 1) (15-099c),15-099c,215.266,145.867,-16.052,
Northern,Agincourt Reefs (No 5) (15-099d),15-099d,292.574,145.835,-16.035,
Northern,U/N Reef (16-011),16-011,10.234,145.764,-16.007,
Northern,Spitfire Reefs (East) (16-012b),16-012b,174.226,145.635,-16.015,
Northern,U/N Reef (16-014a),16-014a,15.14,145.7,-16.024,
Northern,U/N Reef (16-014b),16-014b,111.326,145.71,-16.033,
Northern,Mackay Reef (16-015),16-015,618.712,145.647,-16.049,
Northern,U/N Reef (16-016),16-016,75.238,145.739,-16.055,
Northern,Sylvan Reef (16-017),16-017,129.041,145.721,-16.08,
Northern,U/N Reef (16-018a),16-018a,27.113,145.756,-16.077,
Northern,St Crispin Reef (16-019),16-019,4282.536,145.833,-16.104,
Northern,Undine Reef (West) (16-020a),16-020a,3494.666,145.687,-16.123,
Northern,Undine Reef (East) (16-020b),16-020b,1906.289,145.775,-16.117,
Northern,Rudder Reef (16-023),16-023,4887.867,145.693,-16.192,
Northern,Chinaman Reef (16-024),16-024,735.42,145.792,-16.213,
Northern,Tongue Reef (16-026),16-026,26007.875,145.793,-16.321,
Northern,Low Islands Reef (16-028),16-028,234.32,145.564,-16.386,
Northern,Batt Reef (16-029),16-029,14090.162,145.768,-16.414,Yirrganydji
Northern,Norman Reef (16-030),16-030,528.4,145.997,-16.428,Yirrganydji
Northern,Saxon Reef (16-032),16-032,286.935,145.99,-16.465,Yirrganydji
Northern,Pixie Reef (16-040),16-040,60.886,145.862,-16.547,Yirrganydji
Northern,Jorgensen Patch (16-041),16-041,55.658,145.953,-16.543,Yirrganydji
Northern,Breaking Patches (16-042),16-042,173.147,145.98,-16.582,Yirrganydji
Northern,Vlasoff Reef (16-044b),16-044b,968.598,145.993,-16.655,
Northern,Upolu Reef (16-046),16-046,1468.624,145.937,-16.674,Yirrganydji
Northern,Green Island Reef (16-049),16-049,3543.542,145.999,-16.767,Gunggandji
Northern,Fitzroy Island Reef (No 1) (16-054a),16-054a,16.378,145.994,-16.925,Gunggandji
Northern,Fitzroy Island Reef (No 2) (16-054b),16-054b,2.489,145.985,-16.933,Gunggandji
Northern,U/N Reef (16-054f),16-054f,17.315,145.988,-16.941,Gunggandji
Northern,U/N Reef (16-054g),16-054g,4.633,146.002,-16.934,Gunggandji
Northern,Little Fitzroy Island Reef (16-055),16-055,10.468,146.006,-16.923,Gunggandji
Northern,Hastings Reef (16-057),16-057,1479.16,146.008,-16.518,Yirrganydji
Northern,Michaelmas Reef (16-060),16-060,3322.015,146.019,-16.582,Yirrganydji
Northern,Arlington Reef (16-064),16-064,12767.802,146.055,-16.695,
Northern,Flynn Reef (16-065),16-065,420.508,146.275,-16.729,
Northern,Milln Reef (16-067),16-067,2491.555,146.265,-16.778,
Northern,Thetford Reef (16-068),16-068,1283.884,146.181,-16.803,
Northern,Moore Reef (16-071),16-071,4300.329,146.213,-16.874,
Northern,Elford Reef (16-073),16-073,3965.274,146.249,-16.912,
Northern,Briggs Reef (16-074),16-074,120.65,146.207,-16.938,
Northern,Flora Reef (17-010),17-010,1128.959,146.291,-17.185,
Northern,Coates Reef (17-011),17-011,428.533,146.369,-17.197,
Northern,Normanby-Mabel Reef (17-012),17-012,97.054,146.077,-17.21,
Northern,Round-Russell Reef (17-013),17-013,96.319,146.092,-17.224,
Central,Kelso Reef (18-030),18-030,1284.609,146.99,-18.436,
Central,Little Kelso Reef (18-031),18-031,469.57,146.993,-18.469,
Central,Backnumbers Reef (18-069a),18-069a,3312.234,147.148,-18.509,
Central,Hopkinson Reef (18-073),18-073,738.008,147.193,-18.551,
Central,John Brewer Reef (18-075),18-075,2458.767,147.053,-18.631,
Central,Helix Reef (18-076),18-076,158.002,147.298,-18.625,
Central,Knife Reef (18-081),18-081,1620.477,147.572,-18.576,
Central,Spoon Reef (North) (18-085a),18-085a,239.554,147.566,-18.658,
Central,Wheeler Reef (18-095),18-095,290.454,147.526,-18.798,
Central,Davies Reef (18-096),18-096,1661.466,147.645,-18.822,
Central,Saville-Kent Reef (18-099),18-099,2393.932,147.883,-18.859,
Central,(Big) Broadhurst Reef (No 1) (18-100a),18-100a,9142.675,147.742,-18.907,
Central,Judith Wright Reef (18-101),18-101,3964.614,147.951,-18.9,
Central,U/N Reef (18-103),18-103,91.346,147.892,-18.906,
Central,Banfield Reef (North) (18-105a),18-105a,654.055,147.897,-18.925,
Central,Banfield Reef (South) (18-105b),18-105b,429.511,147.909,-18.939,
Central,(Little) Broadhurst Reef (18-106),18-106,2711.121,147.694,-18.956,
Central,Bowden Reef (19-019),19-019,1482.525,147.928,-19.033,
Central,Mid Reef (19-029),19-029,562.552,148.077,-19.071,
Central,Knuckle Reef (19-116),19-116,4219.553,149.273,-19.534,
Central,Sinker Reef (19-133),19-133,35.514,149.199,-19.719,
Central,Hardy Reef (19-135),19-135,4289.183,149.233,-19.76,
Central,Bait Reef (19-137),19-137,606.06,149.074,-19.807,
Central,Hayman Island Reef (20-014),20-014,314.943,148.891,-20.061,
Central,Black Island Reef (20-017),20-017,45.766,148.893,-20.081,
Central,Hook Island Reef (No 6) (20-028f),20-028f,117.163,148.908,-20.077,
Central,Hook Island Reef (No 7) (20-028g),20-028g,107.054,148.925,-20.073,
Central,Hook Island Reef (No 9) (20-028h),20-028h,32.335,148.958,-20.063,
Southern,Tern Reef (20-309),20-309,307.829,150.033,-20.909,
Southern,Bushy-Redbill Reef (20-310),20-310,958.42,150.08,-20.962,
Southern,U/N Reef (20-348),20-348,1287.685,150.953,-20.887,
Southern,U/N Reef (20-350),20-350,23.875,151.003,-20.832,
Southern,U/N Reef (20-370b),20-370b,268.268,151.058,-20.882,
Southern,U/N Reef (20-375),20-375,173.227,151.003,-20.817,
Southern,U/N Reef (20-380),20-380,1675.698,151.043,-20.915,
Southern,U/N Reef (20-386),20-386,603.167,151.184,-20.96,
Southern,U/N Reef (20-387),20-387,493.761,151.247,-20.97,
Southern,U/N Reef (20-540),20-540,17.615,151.014,-20.814,
Southern,U/N Reef (21-056b),21-056b,4964.299,150.455,-21.079,
Southern,U/N Reef (21-088),21-088,395.574,151.325,-21.024,
Southern,U/N Reef (21-103),21-103,127.446,151.369,-21.079,
Southern,U/N Reef (21-155),21-155,235.942,151.69,-21.16,
Southern,U/N Reef (21-159),21-159,496.525,151.799,-21.162,
Southern,U/N Reef (21-162),21-162,675.805,151.542,-21.205,
Southern,U/N Reef (21-164),21-164,161.005,151.529,-21.218,
Southern,Twin Cays Reef (North) (21-166),21-166,133.006,151.984,-21.215,
Southern,Twin Cays Reef (South) (21-168),21-168,155.941,151.982,-21.227,
Southern,U/N Reef (21-169),21-169,81.685,151.69,-21.239,
Southern,U/N Reef (21-170),21-170,211.548,151.668,-21.244,
Southern,U/N Reef (21-177),21-177,162.505,151.703,-21.333,
Southern,U/N Reef (21-179),21-179,305.588,151.724,-21.347,
Southern,U/N Reef (21-180),21-180,764.975,151.826,-21.346,
Southern,U/N Reef (21-182),21-182,633.489,151.673,-21.377,
Southern,U/N Reef (21-183),21-183,163.375,151.711,-21.374,
Southern,U/N Reef (21-186),21-186,1360.202,151.793,-21.411,
Southern,U/N Reef (21-187),21-187,1711.986,151.648,-21.419,
Southern,U/N Reef (21-188),21-188,1323.902,151.586,-21.444,
Southern,U/N Reef (21-189),21-189,580.227,151.675,-21.452,
Southern,U/N Reef (21-245),21-245,473.392,152.437,-21.305,
Southern,U/N Reef (21-250a),21-250a,344.675,152.402,-21.328,
Southern,Mystery Reef (21-258),21-258,1181.422,152.017,-21.377,
Southern,U/N Reef (21-271),21-271,199.225,152.132,-21.493,
Southern,East Cay Reef (21-305),21-305,892.79,152.565,-21.483,
Southern,U/N Reef (21-439),21-439,145.773,151.653,-21.518,
Southern,U/N Reef (21-478),21-478,665.277,152.273,-21.563,
Southern,U/N Reef (21-491),21-491,553.204,152.474,-21.611,Darumbal
Southern,U/N Reef (21-499),21-499,542.6,152.452,-21.664,Darumbal
Southern,Recreation Reef (21-501),21-501,506.011,152.441,-21.678,Darumbal
Southern,U/N Reef (21-506),21-506,687.102,152.29,-21.715,Darumbal
Southern,U/N Reef (21-512),21-512,1185.377,152.334,-21.758,Darumbal
Southern,U/N Reef (21-513),21-513,1257.523,152.201,-21.752,Darumbal
Southern,Detour Reef (21-514),21-514,1008.137,152.414,-21.761,Darumbal
Southern,Small Reef (21-517),21-517,44.63,152.424,-21.776,Darumbal
Southern,Turtle Reef (21-519),21-519,1576.57,152.383,-21.8,Darumbal
Southern,U/N Reef (21-526),21-526,2025.781,152.312,-21.832,Darumbal
Southern,Mervs Reef (21-536),21-536,900.643,152.364,-21.892,Darumbal
Southern,U/N Reef (21-537),21-537,146.676,152.395,-21.881,Darumbal
Southern,Emperor Reef (21-538),21-538,2251.597,152.444,-21.884,Darumbal
Southern,U/N Reef (21-539),21-539,1656.735,152.271,-21.94,Darumbal
Southern,U/N Reef (21-542),21-542,308.396,152.466,-21.917,Darumbal
Southern,Pike Reef (21-549),21-549,1491.881,152.423,-21.948,Darumbal
Southern,U/N Reef (21-550),21-550,786.983,152.313,-21.951,Darumbal
Southern,U/N Reef (21-551),21-551,2197.3,152.056,-21.961,Darumbal
Southern,U/N Reef (21-558),21-558,890.14,152.546,-21.549,
Southern,U/N Reef (22-088a),22-088a,1658.589,152.158,-22.026,Darumbal
Southern,Heron Reef (23-052a),23-052a,6318.31,151.971,-23.446,Port Curtis Coral Coast
Southern,One Tree Island Reef (23-055a),23-055a,2860.703,152.061,-23.496,Port Curtis Coral Coast
Southern,Lamont Reef (23-076),23-076,1524.557,152.027,-23.599,Port Curtis Coral Coast
Southern,Fitzroy Reef (23-077),23-077,3668.436,152.147,-23.633,Port Curtis Coral Coast
Southern,Llewellyn Reef (23-078),23-078,2271.431,152.181,-23.695,Port Curtis Coral Coast
Southern,Boult Reef (23-079),23-079,1008.826,152.272,-23.757,Port Curtis Coral Coast
Southern,Lady Musgrave Reef (23-082a),23-082a,2952.175,152.387,-23.902,Port Curtis Coral Coast
Southern,Lady Elliot Island Reef (24-008),24-008,253.59,152.715,-24.113,Port Curtis Coral Coast
